Time	State
0	1.105 1.8 3.3 
0.1	1.2305 1.62 3.63 
0.2	1.37855 1.458 3.993 
0.3	1.5514 1.3122 4.3923 
0.4	1.75155 1.18098 4.83153 
0.5	1.9817 1.06288 5.31468 
0.6	2.24487 0.956594 5.84615 
0.7	2.54436 0.860934 6.43077 
0.8	2.88379 0.774841 7.07384 
0.9	3.26717 0.697357 7.78123 
1	3.69889 0.627621 8.55935 
1.1	4.18378 0.564859 9.41529 
1.2	4.72716 0.508373 10.3568 
1.3	5.33487 0.457536 11.3925 
1.4	6.01336 0.411782 12.5317 
1.5	6.76969 0.370604 13.7849 
1.6	7.61166 0.333544 15.1634 
1.7	8.54783 0.300189 16.6798 
1.8	9.58761 0.27017 18.3477 
1.9	10.7414 0.243153 20.1825 
