Time	State
0	1.1 1.8 3.3 
0.1	1.23 1.63 3.645 
0.2	1.38575 1.47425 4.02862 
0.3	1.56803 1.33461 4.45204 
0.4	1.78008 1.20739 4.92012 
0.5	2.02505 1.09263 5.43757 
0.6	2.30629 0.988586 6.00944 
0.7	2.62762 0.894549 6.64143 
0.8	2.99326 0.809405 7.33989 
0.9	3.40788 0.732393 8.11181 
1	3.87661 0.662694 8.96491 
1.1	4.40516 0.599636 9.90773 
1.2	4.9998 0.542574 10.9497 
1.3	5.66751 0.490944 12.1013 
1.4	6.41595 0.444226 13.3739 
1.5	7.25362 0.401954 14.7804 
1.6	8.1899 0.363704 16.3348 
1.7	9.23516 0.329095 18.0527 
1.8	10.4009 0.297778 19.9513 
1.9	11.6997 0.269442 22.0495 
